"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"218542_at",2.75641333008132,0.0239877594807692,14.7538511852416,2.07873694625795e-31,2.5951981426401e-29,60.8057110964202,"CEP55"
"205687_at",1.5096133101956,0.0142544764807692,14.7158796927835,2.62977853600239e-31,3.20229713710313e-29,60.5723905086891,"UBFD1"
"225777_at",1.39582296794505,0.00496831625000001,14.7112384256648,2.70647731344627e-31,3.28107864994844e-29,60.5438644869474,"SAPCD2"
"204026_s_at",2.31357906565275,0.0238956428205128,14.671968499491,3.45198612279469e-31,4.12090264768122e-29,60.3024427740707,"ZWINT"
"205339_at",1.94181938348791,0.0191342499166667,14.6331744122981,4.39035883750011e-31,5.18451121901336e-29,60.0638384128213,"STIL"
"204822_at",3.22508843893846,0.0360287613653846,14.6015217034921,5.3424551199995e-31,6.24142593346095e-29,59.8690787659094,"TTK"
"224753_at",2.05423236692527,0.0228972050705128,14.5921196716471,5.6632589827889e-31,6.58805712519113e-29,59.8112144229435,"CDCA5"
"222067_x_at",1.71400902623956,0.0101401269166667,14.5838211264731,5.96240938826416e-31,6.89206624319964e-29,59.7601363314073,"H2BC5"
"219978_s_at",2.52109886815604,0.0213753283012821,14.5641945308077,6.73444624360722e-31,7.70305122111348e-29,59.6393143827576,"NUSAP1"
"224448_s_at",1.27182853818901,0.0078298161025641,14.5419226001,7.7325587846081e-31,8.7895561652484e-29,59.5021755670033,"UQCC2"
"221436_s_at",1.66022396245714,0.0134518964230769,14.499610587705,1.00552190255459e-30,1.13121214037392e-28,59.2415473885823,"CDCA3"
"218469_at",3.97251596504615,0.00709036071794871,14.4832111141626,1.11331150388695e-30,1.23720135111827e-28,59.1404994939539,"GREM1"
"201897_s_at",1.74433505553187,0.019150725301282,14.4624230531389,1.26674134731934e-30,1.39917339726636e-28,59.0123847948778,"CKS1B"
"226287_at",2.10434950269231,0.0190880766730769,14.4140572024024,1.71077232481536e-30,1.86699554609341e-28,58.7142003302885,"CCDC34"
"218039_at",2.57827790190769,0.0203816564102564,14.4108432708155,1.74528613169405e-30,1.89708785786028e-28,58.6943804082058,"NUSAP1"
"222958_s_at",2.5094216105033,0.0283482235320513,14.3937212145029,1.94126169692179e-30,2.08934022203147e-28,58.5887794653833,"DEPDC1"
"201013_s_at",1.62467499538022,0.0118414897307692,14.3444519347288,2.63707233010506e-30,2.80509590755825e-28,58.2848038676672,"PAICS"
"202580_x_at",2.53793231156483,0.0238350777564102,14.3139354765035,3.18828299278062e-30,3.35875477129635e-28,58.0964496554899,"FOXM1"
"211056_s_at",1.4724422485956,0.0097070753525641,14.2637792154857,4.35612278868497e-30,4.5452483486899e-28,57.7867477381837,"SRD5A1"
