"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"209469_at",-3.5894469121033,-0.00608895912179488,-19.5118037363898,1.00385387596463e-43,1.97275939230425e-40,88.9200693207898,"GPM6A"
"206702_at",-2.99187235550549,-0.011567380275641,-19.5019939552625,1.0614916302103e-43,1.97275939230425e-40,88.8647983464373,"TEK"
"209904_at",-3.64652004185934,-0.0179086845,-19.499806785695,1.07478880601207e-43,1.97275939230425e-40,88.8524735805972,"TNNC1"
"235670_at",-2.85108045678461,-0.0151379886730769,-19.4985594542498,1.08244685448793e-43,1.97275939230425e-40,88.8454445600273,"STX11"
"230670_at",-2.47243930814945,-0.0122134046410256,-19.4768546854437,1.22482741961162e-43,2.16023997313759e-40,88.723101368043,"IGSF10"
"227874_at",-3.37444986236264,-0.0165632100705128,-19.3976468298502,1.92372180363682e-43,3.2868590504326e-40,88.2761264087889,"EMCN"
"1560359_at",-2.31989116501319,-0.00332366698076924,-19.3616860687248,2.36193840559932e-43,3.9133024947316e-40,88.0729365811273,"ITGA1"
"209470_s_at",-3.88641017138901,-0.0109006854230769,-19.2662307514125,4.07551818319696e-43,6.55379284312628e-40,87.5327946474237,"GPM6A"
"230360_at",-3.13521721402198,0.00967894628205128,-19.2607122530469,4.2062420541328e-43,6.57075098027745e-40,87.5015327717533,"GLDN"
"226028_at",-2.59050818894286,-0.010819865775641,-19.1838030193285,6.53362026523254e-43,9.86455042539944e-40,87.065450470381,"ROBO4"
"213900_at",-2.6971676707978,-0.00980867428846154,-19.1800519284219,6.67559882468732e-43,9.86455042539944e-40,87.0441625014296,"ENTREP1"
"204931_at",-3.4425288018967,-0.00946799181410257,-19.1187965926044,9.48545989464562e-43,1.36478294668355e-39,86.6962809143745,"TCF21"
"206701_x_at",-3.03542165714505,-0.0017809964423077,-19.1073844766775,1.01275511719309e-42,1.41980477006492e-39,86.6314173751142,"EDNRB"
"205866_at",-4.13376092952967,-0.00259089825641027,-19.1015564343626,1.04721100099311e-42,1.43140653698245e-39,86.5982860076375,"FCN3"
"243818_at",-2.86970106781319,-0.00941755225000001,-19.0893960578118,1.1229404513818e-42,1.49748217510487e-39,86.529142818401,"SFTA1P"
"223816_at",-2.52020774137143,-0.00626163343589745,-19.0650589580057,1.29141570687182e-42,1.68114651840993e-39,86.3907081107185,"SLC46A2"
"235568_at",-3.81853299203077,0.00167915103846154,-18.9400104177706,2.65152386227584e-42,3.37144342255655e-39,85.6782423892265,"MCEMP1"
"235915_at",-2.30403754081978,-0.0154073704423077,-18.9002040809871,3.33521104315687e-42,4.08945495800882e-39,85.4510378485553,NA
"205326_at",-2.40760370135384,-0.00667006564102564,-18.898620220086,3.3658065498015e-42,4.08945495800882e-39,85.4419935082921,"RAMP3"
"235108_at",-2.41763740088132,-0.00576497703205128,-18.8923801091627,3.48911316879833e-42,4.11814323588737e-39,85.4063575038714,"KCNK3"
"228568_at",-2.61402668903736,-0.00222617492307692,-18.8862841373984,3.6139488208604e-42,4.11814323588737e-39,85.3715399938474,"MYZAP"
"206159_at",-2.70417938441758,-0.00222662462820512,-18.8862155052115,3.61537952121799e-42,4.11814323588737e-39,85.3711479707914,"GDF10"
"1556364_at",-1.87364717165275,-0.00660431765384616,-18.8810534987381,3.72463165649467e-42,4.15600481262951e-39,85.3416612194492,"ADAMTS9-AS2"
"228434_at",-3.31764141148351,-0.00694698298076923,-18.8631029471243,4.13100319302748e-42,4.51725199157555e-39,85.2390972372838,"BTNL9"
"206208_at",-2.36657327898681,-0.00987510699358973,-18.8120778067175,5.54604195480291e-42,5.94568321331076e-39,84.9473376222603,"CA4"
"229127_at",-2.53374252561538,-0.00534039142948717,-18.8015569498904,5.89355695918757e-42,6.18865623534968e-39,84.8871398292273,"JAM2"
"209074_s_at",-3.83020762467692,-0.0116434355384615,-18.7984857714674,5.99906320024752e-42,6.18865623534968e-39,84.8695647158333,"FAM107A"
"222738_at",-2.27676914976703,-0.0102836091025641,-18.7927581766476,6.20091779938761e-42,6.27235270553635e-39,84.8367848969605,"WWC2"
"232578_at",-4.5945862237956,-0.0173475366602564,-18.7897503425793,6.30963692372198e-42,6.27235270553635e-39,84.8195690258322,"CLDN18"
"206030_at",-2.05115834145055,-0.0117033092051282,-18.7707900910928,7.04040284474649e-42,6.87382188458061e-39,84.7110209975063,"ASPA"
"243172_at",-2.14719050236703,0.000886638044871793,-18.7561174330857,7.6637450179356e-42,7.35114489220401e-39,84.6269891771667,NA
"1556579_s_at",-2.7541874512022,-0.00178489736538461,-18.7128904853392,9.84126198799571e-42,9.27708619299423e-39,84.3792700031978,"MED12L"
"229308_at",-3.13643544378901,-0.0204747662564103,-18.7043761846691,1.0338436914211e-41,9.58057692007604e-39,84.3304503137234,"ANKRD29"
"226056_at",-1.89602475156483,-0.0111777789358974,-18.6430276840554,1.47499503401281e-41,1.34408922474417e-38,83.9784244181436,"ARHGAP31"
"206311_s_at",-3.1066523785033,-0.00310831304487179,-18.6110025735565,1.7759660064618e-41,1.59181871152949e-38,83.7944768130823,"PLA2G1B"
"236936_at",-2.75746323768571,-0.0104794261217949,-18.6019207204998,1.8720344672237e-41,1.62465848405486e-38,83.7422891204352,NA
"217177_s_at",-1.8599173345011,-0.00450526508974359,-18.5571854961938,2.42702506034506e-41,2.07339992459947e-38,83.4850768395199,"PTPRB"
"228540_at",-1.63267480384835,-0.00900283945512821,-18.5243135903711,2.93763575950106e-41,2.47100361770339e-38,83.2959189244552,"QKI"
"238178_at",-2.51348374491209,-0.0113992427371795,-18.5008650344569,3.36654323031596e-41,2.7888750169322e-38,83.1609062257829,NA
"239349_at",-2.68272805044176,-0.0126712311987179,-18.4530737724818,4.44530568254135e-41,3.57551299636416e-38,82.8855253955296,"C1QTNF7"
"227178_at",-2.1863659255956,-0.0108357464487179,-18.4530117064341,4.44691145409717e-41,3.57551299636416e-38,82.8851675806896,"CELF2"
"243813_at",-2.45198513836923,-0.00169054737179488,-18.4488890594984,4.55488633606733e-41,3.60925232499248e-38,82.8613992032794,"LINC00968"
"222520_s_at",-2.45623538834725,-0.00615403770512819,-18.4365564536084,4.89385011317913e-41,3.82244649911527e-38,82.7902854738074,"IFT57"
"226992_at",-2.94836568898022,-0.0049486278846154,-18.4148851721286,5.55198323268515e-41,4.27541807390226e-38,82.6652772819044,"NOSTRIN"
"204273_at",-3.73970218556263,-0.00320615807051283,-18.407107652502,5.80925039265186e-41,4.41139951692001e-38,82.6203997117336,"EDNRB"
"215454_x_at",-3.91636018785934,-0.00676903048717948,-18.3570522193639,7.77681062052685e-41,5.82461809146993e-38,82.3313964227831,"SFTPC"
"220170_at",-2.43999382688571,-0.00825328151923077,-18.3027459060522,1.06754631734878e-40,7.88758039203306e-38,82.0175076589283,"FHL5"
"212975_at",-1.64618996333846,-0.0089423716602564,-18.256892940568,1.39531735306616e-40,1.01718635038523e-37,81.7522023179523,"DENND3"
"206068_s_at",-2.78990787283077,-0.0123377177051282,-18.1615755693866,2.43639619571653e-40,1.7078200256513e-37,81.1998881262402,"ACADL"
"205507_at",-1.6551061107033,-0.00928191903846154,-18.1476023641884,2.64407735869028e-40,1.82993581754926e-37,81.1188293253851,"ARHGEF15"
"233392_at",-2.07455810566813,0.000636272749999999,-18.1252318429472,3.01419154776787e-40,2.0600115359276e-37,80.9890090121031,NA
"232404_at",-1.67824943265275,0.00133430314743589,-18.1204544933451,3.09973626687238e-40,2.08892124456087e-37,80.9612774231654,"SHROOM4"
"228770_at",-1.90869219805494,0.000237633570512816,-18.1186376861607,3.13290428996783e-40,2.08892124456087e-37,80.9507304951524,"GPR146"
"213974_at",-2.52615167972527,-0.0146972230705128,-18.0921228381227,3.65953706241066e-40,2.38196653437265e-37,80.7967617563252,"ADAMTSL3"
"229641_at",-2.61243662247253,-0.00365209103205128,-18.0589181582926,4.44611487025938e-40,2.84337515789466e-37,80.6038279123446,"CCBE1"
"227779_at",-1.72395130948132,-0.00842496029487179,-18.0579119494595,4.4724328043702e-40,2.84337515789466e-37,80.5979793489366,"ECSCR"
"236600_at",-1.51953760510989,-0.00658852777564103,-18.0013228646463,6.23414839285772e-40,3.91783980895972e-37,80.2688633586382,"SPART"
"231947_at",-2.08290626812747,-0.00382198919230769,-17.9925100727916,6.56528468028211e-40,4.07905613516392e-37,80.2175749669021,"MYCT1"
"204271_s_at",-2.91879387176044,-0.000801668711538467,-17.9784676002041,7.12977809031521e-40,4.38000693357285e-37,80.1358320700738,"EDNRB"
"228504_at",-3.81168415214945,-0.0127050915641026,-17.9723983848553,7.38859218634957e-40,4.48856975320736e-37,80.1004952327944,"SCN7A"
"205200_at",-3.59385615837143,-0.0146541729679487,-17.960550331699,7.92131890027227e-40,4.75931989969656e-37,80.0314996849463,"CLEC3B"
"238061_at",-1.43812118518681,-0.00830657884615384,-17.9576525053122,8.05737764283011e-40,4.76532389246473e-37,80.0146220585986,"LGI3"
"213317_at",-4.38248916230989,-0.0416370817628205,-17.9566366657094,8.10562637401409e-40,4.76532389246473e-37,80.0087053337806,"CLIC5"
"227780_s_at",-1.99236354600879,-0.00840854601282051,-17.9501931481426,8.41849449635953e-40,4.89660836796231e-37,79.9711724381412,"ECSCR"
"220244_at",-2.75331345353846,-0.00972976094871795,-17.9336048056621,9.28085005565372e-40,5.34137343992492e-37,79.8745243368229,"LINC00312"
"236262_at",-2.34311367715824,-0.00779004281410256,-17.8929052101267,1.17912633080062e-39,6.7154929308879e-37,79.6372603108209,"MMRN2"
"214135_at",-4.56863890366373,-0.00661090460897436,-17.8881713683199,1.2124363740499e-39,6.83401636610083e-37,79.609651061091,"CLDN18"
"224061_at",-3.22951644178901,-0.0282089858589744,-17.8651280129558,1.38857236628825e-39,7.7469585843684e-37,79.4752173901692,"INMT"
"219091_s_at",-1.9865124722022,-0.0111575654871795,-17.8410770860221,1.5998607694719e-39,8.83559470412888e-37,79.3348391476548,"MMRN2"
"204719_at",-3.78737308026593,-0.0266179563653846,-17.8344990268832,1.66307386271698e-39,9.08741966624273e-37,79.2964331290382,"ABCA8"
"238018_at",-2.80672170562857,-0.0091374678525641,-17.8329115912846,1.67870029499866e-39,9.08741966624273e-37,79.2871641223383,"ALKAL2"
"219597_s_at",-2.86998347910769,-0.0116475876794872,-17.8161905415225,1.85252227761686e-39,9.93006426751977e-37,79.1895123093026,"DUOX1"
"213715_s_at",-2.02430176558461,-0.0074060332371795,-17.7625024966834,2.54242838745157e-39,1.34958516586325e-36,78.8757504203242,"KANK3"
"206167_s_at",-2.6541598993978,-0.00862831457692307,-17.7423060093619,2.86421287988524e-39,1.4914365638831e-36,78.7576317709308,"ARHGAP6"
"239849_at",-2.78923941307912,-0.00780010932692307,-17.7358803165849,2.97492722089236e-39,1.53447307360651e-36,78.7200413118997,NA
"217628_at",-2.04806769845934,-0.0215111429423077,-17.7128758115207,3.40769577703859e-39,1.74126884681855e-36,78.5854250407574,"CLIC5"
"213103_at",-1.84192386923077,-0.0127411354615385,-17.6999296352627,3.67846678373581e-39,1.86222380926625e-36,78.5096404170472,"STARD13"
"228339_at",-1.98797734693846,-0.00809481290384616,-17.6601236487661,4.65391238211281e-39,2.31320599538198e-36,78.2765014943034,"ECSCR"
"227417_at",-2.20807123433846,-0.00525885725641025,-17.5850191469479,7.25715032935194e-39,3.57463688520106e-36,77.8361246400385,"MTARC2"
"219230_at",-4.38997400922197,0.0081533933076923,-17.5670479139052,8.07191013715189e-39,3.94046148882839e-36,77.7306535863679,"TMEM100"
"206283_s_at",-1.94108747308352,-0.00650327267307693,-17.5463845700586,9.12280491079623e-39,4.39574045991577e-36,77.6093370008048,"TAL1"
"238062_at",-2.41861306528132,-0.00900137050641026,-17.5455995480343,9.16532990270503e-39,4.39574045991577e-36,77.6047270908977,"GPIHBP1"
"226950_at",-2.27875509973846,-0.00622505198076923,-17.5357889169215,9.713853541602e-39,4.61830384684425e-36,77.5471098490699,"ACVRL1"
"203980_at",-4.27057238822637,-0.0314590250961539,-17.5295340535393,1.00806424542048e-38,4.75137177744525e-36,77.5103696572085,"FABP4"
"220351_at",-2.28049450181758,-0.0094164078397436,-17.4997504470849,1.20271131152342e-38,5.62036247500368e-36,77.3353634876104,"ACKR4"
"226627_at",-1.9422295818989,-0.005525907,-17.4981298333426,1.21432419737303e-38,5.62654029587885e-36,77.3258379763921,"SEPTIN8"
